ID,created,name,group
133,2024-11-17 13:37:00,O que são IAs Generativas,IA
134,2024-11-18 07:35:00,Algoritmos e Aprendizado de Máquina,IA
135,2024-11-18 08:52:00,Processamento de Linguagem Natural,IA
136,2024-11-18 09:10:00,Visão Computacional,IA
137,2025-07-28 21:37:00,Bases de Prompt Engineering para o GitHub Copilot,IA
138,2025-07-29 08:38:00,Criando um Ebook com ChatGPT & MidJourney,IA
139,2025-07-29 10:33:00,Introdução a Engenharia de Prompts,IA
140,2023-03-30 23:51:00,Eletrônica Básica para Prototipação com Microcontroladores,IOT
141,2023-09-12 21:11:00,Modelos de IoT,IOT
142,2023-09-12 21:14:00,Introdução para IoT em um mundo conectado,IOT
143,2023-09-13 06:19:00,Aplicações de IoT na atualidade,IOT
144,2023-09-13 06:19:00,Materiais Complementares - Introdução à Internet das Coisas (IoT) e suas Aplicações,IOT
145,2023-09-13 06:23:00,Cidades Inteligentes,IOT
146,2023-09-13 06:23:00,Introdução à Internet das Coisas (IoT) e suas Aplicações,IOT
147,2023-09-13 12:00:00,Protocolos de Comunicação para IoT,IOT
148,2023-09-17 18:07:00,Materiais Complementares - Protocolos de Comunicação e Segurança para IoT,IOT
149,2023-09-18 13:05:00,Plataformas de Prototipação para Internet das Coisas,IOT
150,2023-09-18 13:06:00,Materiais Complementares - Princípios de Eletrônica para IoT,IOT
151,2023-09-18 13:22:00,Segurança de Redes para IoT,IOT
152,2023-09-18 13:28:00,Protocolos de Comunicação e Segurança para IoT,IOT
153,2023-09-18 13:29:00,Avalie a Formação IoT Specialist,IOT
154,2023-09-18 13:29:00,Materiais Complementares - Computação Móvel Aplicada à IoT,IOT
155,2023-09-19 16:37:00,Materiais Complementares - Inteligência Artificial aplicada para Sistemas de IoT,IOT
156,2023-09-20 14:37:00,Sistemas Embarcados Críticos,IOT
157,2023-09-20 20:24:00,Princípios de Eletrônica para IoT,IOT
158,2023-09-20 20:51:00,Tipos de Sensores Aplicados para IoT,IOT
159,2023-09-20 20:53:00,Materiais Complementares - Sensores Inteligentes para IoT,IOT
160,2023-09-21 16:48:00,Algoritmos para Sensoriamento em IoT,IOT
161,2025-02-03 22:23:00,Introdução ao Java Cloud Native com o Bradesco,JavaKotlin
162,2025-02-05 17:26:00,Live de Lançamento: Bradesco - Java Cloud Native,JavaKotlin
163,2025-02-05 17:28:00,Java e a Arte da Abstração com Classes e Encapsulamento,JavaKotlin
